Book Title,Author,Genre,Blurb
The Spanish Love Deception,Elena Armas,Romance,"Catalina needs a date to her sister's wedding in Spain, and her annoying coworker Aaron offers to be her fake boyfriend for the trip."
The Love Hypothesis,Ali Hazelwood,Romance,"A third-year PhD candidate accidentally kisses a professor and convinces him to be her fake boyfriend to prove a hypothesis about relationships."
Beach Read,Emily Henry,Romance,"Two writers with opposite genres spend a summer next to each other and challenge themselves to write in each other's styles while falling in love."
Book Lovers,Emily Henry,Romance,"A literary agent who always plays the supporting character in life finally gets her own love story when she keeps running into the same grumpy editor in a small town."
People We Meet on Vacation,Emily Henry,Romance,"Two best friends who take a summer vacation together every year haven't spoken in two years, but agree to one more trip to fix their friendship."
Happy Place,Emily Henry,Romance,"A couple who broke up months ago must pretend they're still together during a friend group vacation at their favorite cottage."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Romance,"Aging Hollywood icon Evelyn Hugo finally tells the story of her scandalous life and her seven marriages to an unknown journalist."
Daisy Jones & The Six,Taylor Jenkins Reid,Romance,"An oral history of a fictional 1970s rock band's rise to fame and dramatic implosion, centering on the tempestuous relationship between two lead singers."
Malibu Rising,Taylor Jenkins Reid,Romance,"The four famous Riva siblings throw an epic party in Malibu that ends in disaster, while flashbacks reveal their family's complicated history."
Carrie Soto Is Back,Taylor Jenkins Reid,Romance,"A retired tennis champion makes a comeback at age 37 to reclaim her record, navigating fame, family, and a new relationship."
The Hating Game,Sally Thorne,Romance,"Two executive assistants who share an office wall engage in a daily game of one-upmanship until they're forced to compete for the same promotion."
Red White & Royal Blue,Casey McQuiston,Romance,"The First Son of the United States falls for the Prince of Wales, forcing them to fake a friendship that turns into real love."
One Last Stop,Casey McQuiston,Romance,"A cynical girl moves to New York and falls for a girl on the subway, only to discover she's displaced in time from the 1970s."
The Kiss Quotient,Helen Hoang,Romance,"An autistic woman hires a male escort to teach her about dating and relationships, but their arrangement becomes complicated by real feelings."
The Bride Test,Helen Hoang,Romance,"A Vietnamese woman is brought to America by her mother to date her son, an autistic man who doesn't think he's capable of love."
The Heart Principle,Helen Hoang,Romance,"A violinist with burnout and a fake boyfriend arrangement with her crush must face her true feelings when a health crisis changes everything."
From Blood and Ash,Jennifer L. Armentrout,Romance,"A Maiden chosen from birth must remain pure for the gods, but her duty is challenged when she falls for her forbidden guard."
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Romance,"Poppy discovers shocking truths about her identity and destiny as she navigates her feelings for Casteel and the war brewing around them."
The Crown of Gilded Bones,Jennifer L. Armentrout,Romance,"Poppy embraces her true identity as the Queen of Flesh and Fire while facing betrayal, war, and the depths of her bond with Casteel."
Things We Never Got Over,Lucy Score,Romance,"A woman fleeing her manipulative ex arrives in a small town to find her twin sister has abandoned her niece, and she clashes with the grumpy neighbor who takes them in."
Things We Hide from the Light,Lucy Score,Romance,"A police chief who keeps everyone at arm's length finds himself drawn to the new doctor in town who has secrets of her own."
The Unhoneymooners,Christina Lauren,Romance,"After everyone at a wedding gets food poisoning except the bride's sister and the groom's brother (who hate each other), they're forced to go on the honeymoon together."
The Soulmate Equation,Christina Lauren,Romance,"A single mom discovers through a DNA dating app that her perfect match is the irritating founder of the company itself."
The Proposal,Jasmine Guillory,Romance,"After a public proposal goes wrong at a Dodgers game, a woman is rescued by a handsome stranger, leading to an unexpected romance."
The Wedding Date,Jasmine Guillory,Romance,"A woman needs a plus-one for her ex's wedding and asks the attractive man who saves her from a stuck elevator to be her fake boyfriend."
The Time Traveler's Wife,Audrey Niffenegger,Romance,"A man with a genetic disorder that causes him to time travel falls in love with a woman who has to navigate their relationship across different timelines."
Me Before You,Jojo Moyes,Romance,"A quirky young woman becomes a caregiver for a wealthy quadriplegic man, and their unlikely friendship transforms both of their lives."
After You,Jojo Moyes,Romance,"Louisa Clark struggles to move forward after tragedy strikes and finds unexpected connections at a grief support group."
The Flatshare,Beth O'Leary,Romance,"Two people share an apartment but have never met—he sleeps there at night while working night shifts, she sleeps there during the day, and they communicate through Post-it notes."
The Switch,Beth O'Leary,Romance,"A grandmother and granddaughter swap homes for two months, each seeking a change, and both find unexpected romance in their new locations."
Haunting Adeline,H.D. Carlton,Dark Romance,"A bestselling author becomes obsessed with the tragic love story of her great-grandmother while being stalked by a manipulative and dangerous man."
Hunting Adeline,H.D. Carlton,Dark Romance,"The dark continuation of Adeline's story as she's thrust into a world of danger and must confront her complicated feelings for her stalker."
Credence,Penelope Douglas,Dark Romance,"A girl is sent to live with her estranged uncle and his two sons in the mountains after her parents' death, leading to a forbidden and taboo romance."
Birthday Girl,Penelope Douglas,Dark Romance,"A young woman falls for her fiancé's father in this age-gap forbidden romance that explores dangerous attraction and family boundaries."
Punk 57,Penelope Douglas,Dark Romance,"Two pen pals who've never met finally cross paths in high school, but neither realizes who the other is until secrets unravel."
Corrupt,Penelope Douglas,Dark Romance,"A young woman returns to find herself targeted by the powerful group of boys who once ruled her elite boarding school."
Den of Vipers,K.A. Knight,Dark Romance,"A woman seeking revenge becomes entangled with four dangerous men in a reverse harem dark romance filled with violence and obsession."
Butcher & Blackbird,Brynne Weaver,Dark Romance,"Two rival serial killers who only target other killers enter into an unusual partnership that becomes a twisted love story."
Beneath the Stands,Penelope Douglas,Dark Romance,"A forbidden romance unfolds between stepsiblings in this dark exploration of taboo desire and complicated family dynamics."
